Character,Dialogue,Context,fr,it,de,es,ru,ptbr,zht,zhs,JP,ko,tr,
,"I hoped we'd never have to do something so terrible again...but I'll be by your side whatever you have to do, Tabby.",,"J'espérais qu'on n'aurait jamais à commettre une telle atrocité... mais je serai à tes côtés, peu importe ce que tu devras faire, Tabby.","Speravo che non avremmo mai più dovuto fare qualcosa di tanto tremendo... Ma sarò al tuo fianco sempre e comunque, Tabby.","Ich habe gehofft, dass wir nie wieder so etwas Schreckliches tun müssen ... aber ich werde an deiner Seite sein, egal was du tun musst, Tabby.","Esperaba que no tuviéramos que volver a hacer algo tan terrible... Pero estaré a tu lado, pase lo que pase, Tabby.","Я надеялся, что нам больше не придется совершать ужасные поступки...  но я всегда буду на твоей стороне, Табби, что бы ты ни сделала.","Eu esperava que nunca mais tivéssemos que fazer algo tão horrível... mas estarei ao seu lado, Tabby, aconteça o que acontecer.",我本來希望我們再也不用做這麼可怕的事…但不管妳必須做什麼，我都會陪在妳身邊，Tabby。,"Bir daha boyle korkunc bir sey yapmak zorunda kalmayiz diye ummustum... ama ne yapman gerekirse yaninda olacagim, Tabby.",あんなひどいこと、もう二度としたくなかったけど…でも、きみが何をしても、ぼくはずっとそばにいるからね。,"다시는 이런 끔찍한 일을 하지 않아도 될 줄 알았는데...하지만 네가 무슨 일을 하건 간에 난 네 편이야, 태비.","Bir daha boyle korkunc bir sey yapmak zorunda kalmayiz diye ummustum... ama ne yapman gerekirse yaninda olacagim, Tabby.",
,"It was so nice to have everyone together again. It felt like a dream come true. But, we know better now. None of it is real.",,C'était si chouette qu'on soit tous réunis à nouveau. Comme un rêve qui se réalisait. Mais on n'est pas dupes. Rien de tout cela n'est réel.,È stato bello essere di nuovo tutti insieme. Come un sogno che si realizza. Ma ora sappiamo bene che nulla di tutto questo è reale.,"Es war so schön, alle wieder zusammen zu haben. Es war wie ein wahr gewordener Traum. Aber jetzt wissen wir es besser. Nichts davon ist real.",Me ha gustado ver a todos juntos de nuevo. Parecía un sueño. Pero ahora sabemos que nada de eso era real.,"Как славно было видеть, что все снова вместе. Словно мечта сбылась. Но теперь-то мы знаем. Все это нереально.",Foi tão bom ver todos juntos novamente. Parecia um sonho realizado. Mas agora sabemos que nada disso é real.,能讓大家再次團聚的感覺很好，那感覺就像美夢成真一樣…但，我們現在都很清楚。這一切，都不是真的。,Herkesi yeniden bir arada gormek cok guzeldi. Bir ruya gibiydi. Ama artik biliyoruz. Hicbiri gercek degil.,またみんなで集まれてよかったね。夢みたいだったよ。でもこれでわかった。どれも現実じゃなかったんだね。,다들 다시 모이니 너무 좋다. 꿈만 같아. 하지만 모두 이게 무슨 뜻인지 알지. 전부 현실이 아니야.,Herkesi yeniden bir arada gormek cok guzeldi. Bir ruya gibiydi. Ama artik biliyoruz. Hicbiri gercek degil.,
,Suzie is cute! I hope she wasn't trapped in there for too long...,,Suzie est trop mignonne ! J'espère qu'elle n'a pas été enfermée là-dedans trop longtemps...,Suzie è così carina! Spero che non sia rimasta intrappolata lì troppo a lungo...,"Suzie ist so süß! Ich hoffe, sie war nicht zu lange da drin gefangen ...",¡Suzie es tan mona! Ojalá no llevara tanto tiempo ahí atrapada...,"Сьюзи просто милашка! Надеюсь, она не слишком долго здесь проторчала...",A Suzie é tão fofa! Espero que ela não tenha ficado lá presa por muito tempo...,Suzie 好可愛！希望她沒有被困在裡面太久…,Suzie cok tatli! Umarim orada cok uzun sure mahsur kalmamistir...,スージーはすごくかわいいね！あまり長く閉じ込められていなかったことを祈るよ…,수지는 정말 귀여워! 저기에 너무 오래 갇혀 있는 게 아니면 좋겠는데...,Suzie cok tatli! Umarim orada cok uzun sure mahsur kalmamistir...,
,That little girl was so cute...I wonder who she was. Do you think she was trapped there for a long time? It's so sad...,,Cette fillette était adorable... Qui peut-elle bien être ? Tu crois qu'elle a été enfermée longtemps là-dedans ?,Quella bambina era così carina... Chissà chi era. Pensi che sia rimasta intrappolata lì per molto tempo? Che cosa triste...,"Das kleine Mädchen war so süß ... Ich frage mich, wer sie war. Glaubst du, sie war dort für eine lange Zeit gefangen? Es ist so traurig ...",Esa niñita era tan adorable... ¿Quién sería? ¿Crees que lleva mucho tiempo atrapada? Qué pena...,"Такая милая девочка... Интересно, кто она. Думаешь, она долго здесь проторчала? Как грустно...",Aquela menininha era tão fofa... Quem será que ela era? Será que ela ficou lá presa por muito tempo? É tão triste...,那個小女孩好可愛…真想知道她是誰。妳覺得她是不是在那裡被困很久了？想想就覺得好難過…,O kucuk kiz cok tatliydi... Acaba kimdi? Sence uzun sure orada mi mahsur kaldi? Cok uzucu...,あの女の子、すごくかわいかったな…誰だろう。ずっとあそこに閉じ込められてたのかな？考えるだけでつらいよ…,저 아이는 정말 귀엽다... 누굴까. 저 애가 저기 오랫동안 갇혀 있는 것 같아? 너무 슬프네...,O kucuk kiz cok tatliydi... Acaba kimdi? Sence uzun sure orada mi mahsur kaldi? Cok uzucu...,
,"Tabby, how could you go through with something like that?",,"Tabby, comment as-tu pu commettre une telle atrocité ?","Tabby, come hai potuto fare una cosa del genere?","Tabby, wie konntest du so etwas nur tun?","Tabby, ¿cómo has podido seguir adelante con algo así?","Табби, как ты могла пойти на такое?","Tabby, como você pôde fazer uma coisa dessas?",Tabby，妳怎麼能真的做出那種事？,"Tabby, nasil boyle bir sey yapabildin?",タビー、よくこんなことができたね…,"태비, 대체 이런 걸 어떻게 버티고 있는 거야?","Tabby, nasil boyle bir sey yapabildin?",
,Pure Evil,,Le Mal absolu,Male puro,Das pure Böse,Maldad pura,Чистое зло,Pura maldade,純粹的邪惡,Saf Kotuluk,純粋な悪,순수한 악,Saf Kotuluk,
,"Maybe look where you are going next time, Tabby. I hate to see you get hurt like that.",,"Essaie de regarder où tu mets les pieds, Tabby. Je n'aime pas te voir te blesser à ce point.","Tabby, la prossima volta guarda bene dove vai. Mi spiace vedere che ti fai male così.","Vielleicht solltest du das nächste Mal aufpassen, wo du hingehst, Tabby? Ich hasse es, wenn du so verletzt wirst.","La próxima vez, mira por dónde vas. No me gusta que te hagan daño.","Табби, давай ты будешь смотреть по сторонам? Мне больно смотреть на твои страдания.","Veja se da próxima vez toma mais cuidado por onde anda, Tabby. Detesto te ver machucada assim.",下次走路看著點，Tabby。我不喜歡看到妳那樣受傷。,"Bir dahakine onune baksan iyi olur, Tabby. Boyle caninin yandigini gormek istemiyorum.",次からはもっと慎重にね。もうタビーが傷つくところなんて見たくないよ。,"다음엔 좀 조심하자, 알겠지 태비? 네가 그렇게 다치는 걸 보고 싶지 않아.","Bir dahakine onune baksan iyi olur, Tabby. Boyle caninin yandigini gormek istemiyorum.",
,I don't think I'll ever be able to look at a toilet the same again...,,Je ne verrai jamais plus les toilettes de la même façon...,Non penso che mi fiderò mai più di un gabinetto d'ora in poi...,"Ich glaube nicht, dass ich eine Toilette je wieder so sehen werde wie früher ...",No creo que pueda volver a ver un baño de la misma forma...,Я больше никогда не смогу спокойно смотреть на туалеты...,Acho que nunca mais conseguirei olhar para uma privada da mesma forma...,我想我再也沒辦法用以前的眼光看馬桶了…,Sanirim bir daha asla tuvalete ayni gozle bakamayacagim...,もうトイレを普通に見れなそう…,다시는 변기를 전처럼 편하게 쓸 수 없겠어....,Sanirim bir daha asla tuvalete ayni gozle bakamayacagim...,
,Now that's a bad dog. Maybe we should call animal control?,,Quel méchant chien. Et si on appelait la SPA ?,Cane cattivo! Dovremmo chiamare le guardie zoofile.,Das ist aber ein böser Hund. Vielleicht sollten wir den Tierschutz anrufen?,Ese perro tiene malas pulgas. Igual habría que avisar a un adiestrador canino.,"Очень плохая собачка. Может, нам стоит вызвать службу отлова бездомных животных?","Esse cachorro é muito bravo. Talvez poderíamos chamar a carrocinha, o que acha?",那隻狗也太壞了吧…要不要乾脆叫動物管理單位來處理一下？,Iste bu yaramaz bir kopek. Hayvan kontrolu mu cagirsak acaba?,悪い犬だったね。動物管理局に通報すべきかな？,못된 강아지 같으니라고. 유해동물 처리반을 부를까?,Iste bu yaramaz bir kopek. Hayvan kontrolu mu cagirsak acaba?,
,Couldn't it kill you in a less dramatic fashion? Maybe a light bludgeoning?,,"Ça ne pouvait pas te tuer de façon moins théâtrale ? Un petit coup sur la tête, peut-être ?",Non poteva ucciderti in modo meno teatrale? Magari con una leggera bastonata?,Konnte es dich nicht etwas weniger dramatisch umbringen? Vielleicht mit einem kleinen Schlag auf den Kopf?,¿No podía matarte de una forma menos dramática? ¿Quizá con un golpecito en la cabeza?,"Неужели нельзя было убить тебя менее драматично? Ну, слегка огреть по голове, например?",Não dava pra te matar de um jeito menos dramático? Talvez com uma pancadinha na cabeça?,就不能用沒那麼戲劇化的方式殺妳嗎？比如輕輕敲一下腦袋？,Seni daha az dramatik bir sekilde olduremez miydi? Belki hafif bir darbe falan?,もう少し地味な殺し方はなかったの？ 軽く頭を殴るとかさ。,좀 덜 극적으로 죽일 순 없었대? 머리를 살짝 후려친다든가?,Seni daha az dramatik bir sekilde olduremez miydi? Belki hafif bir darbe falan?,
,"Tabby, maybe you should be careful where you're running. Ouch.",,"Tabby, tu devrais faire attention quand tu cours. Aïe.","Tabby, dovresti fare più attenzione quando corri. Ahia.","Tabby, vielleicht solltest du vorsichtig sein, wohin du läufst. Autsch.","Tabby, deberías tener más cuidado de por dónde corres. Auch.","Табби, советую смотреть, куда бежишь. Ох.","Tabby, talvez você devesse ter mais cuidado por onde corre. Ai!",塔比，下次跑步時記得小心點啊…唔，這下肯定很痛。,"Tabby, kosarken biraz dikkatli olsan iyi olur. Ah.",タビー、次はもっと周りをよく見て走ろうね。イタタ。,"태비, 달릴 땐 조심하는 게 좋겠어. 아야.","Tabby, kosarken biraz dikkatli olsan iyi olur. Ah.",
,I swear that wasn't always there! Right? Are we both going crazy?,,Je jurerais que ce n'était pas là avant ! T'es d'accord ? Est-ce qu'on perd la tête ?,"Giuro, non c'era quella cosa lì prima! Vero? Stiamo impazzendo entrambi?","Ich schwöre, das war nicht immer da! Oder? Sind wir beide verrückt geworden?",¡Te prometo que eso no estaba ahí! ¿Verdad? ¿Es que estamos perdiendo la cabeza?,"Клянусь, раньше там этого не было! Правда же? Или мы оба сходим с ума?",Juro que isso não estava aí antes! Né? Será que estamos enlouquecendo?,那東西之前真的不在那裡的！對吧？我們該不會都瘋了吧？,Yemin ederim o hep orada degildi! Degil mi? Ikimiz de cildiriyor muyuz?,あれはあそこになかったよね？ぼくたち、おかしくなっちゃったのかな？,분명 저기에 없던 건데! 그렇지? 우리 둘 다 미쳐버린 게 아닐까?,Yemin ederim o hep orada degildi! Degil mi? Ikimiz de cildiriyor muyuz?,
,I guess we should know better by now. Rugs are tantamount to certain death.,,"On aurait dû s'en douter, en fait. Les tapis représentent une mort certaine.",Avremmo dovuto prevederlo. I tappeti equivalgono a morte certa.,Wir hätten es wohl schon längst besser wissen müssen. Teppiche bedeuten den sicheren Tod.,Supongo que era de esperar. Las alfombras no traen nada bueno.,"Кажется, нам уже давно пора понять. Ковры предвещают верную смерть.",Acho que essa já dava para adivinhar. Tapetes são praticamente um convite à morte.,到現在我們也該學乖了。地毯基本上就等於必死無疑。,Artik ogrenmis olmamiz lazim. Halilar kesin olum demek.,そろそろ気づいたでしょ？この家のじゅうたんを踏むと必ず死ぬんだ。,지금 쯤엔 깨달았어야 하는 거 같은데. 카펫을 밟으면 확실히 죽는군.,Artik ogrenmis olmamiz lazim. Halilar kesin olum demek.,
,"I guess that's what you get for killing her, Tabby.",,"Voilà ce que ça t'aura valu de la tuer, Tabby.","Questa è la tua punizione per averla uccisa, Tabby.","Das hast du nun davon, dass du sie umgebracht hast, Tabby.","Supongo que eso te pasa por matarla, Tabby.","Похоже, это расплата за ее убийство, Табби.","Acho que é isso que você ganha por ter matado ela, Tabby.",我想這就是妳殺了她的下場吧，塔比。,"Onu oldurunce olacagi buydu, Tabby.",タビー、これは彼女を殺した報いなのかもね。,"녀석을 죽이면 받는 대가가 그건가 봐, 태비.","Onu oldurunce olacagi buydu, Tabby.",
,"Leave it to these cursed houses to instill new fears of household objects. What's next, a possessed toaster?",,"Il fallait bien que ces maisons maudites nous donnent de nouvelles phobies des objets ménagers. Et après, quoi ? Un grille-pain possédé ?",Ci mancavano solo queste case maledette a farci venire nuove paure degli oggetti di casa. E poi? Un tostapane posseduto?,"Typisch für diese verfluchten Häuser, dass sie einem neue Ängste vor Haushaltsgegenständen einjagen. Was kommt als Nächstes, ein besessener Toaster?","Tenían que ser estas casas malditas las que nos hicieran temer nuevos objetos domésticos. ¿Qué será lo próximo, una tostadora poseída?","Только этих проклятых домов не хватало, чтобы начать бояться обычных вещей. Что дальше — одержимый тостер?","Deixa com essas casas amaldiçoadas pra fazer a gente ganhar medo de objetos domésticos. O que vem depois, uma torradeira possuída?",這些受詛咒的房子還真會讓人開始害怕各種家用品。下一個是什麼？被附身的烤麵包機？,"Bu lanetli evler insana ev esyalarindan korkmayi ogretiyor. Sirada ne var, ele gecirilmis bir tost makinesi mi?",呪われた家って、日用品への新しい恐怖を植え付けるのが得意だよね。次は何？ 憑依されたトースター？,"이 저주받은 집들은 생활용품에 대한 새로운 공포를 심어 주는 데는 선수네. 다음은 뭐야, 귀신 들린 토스터?","Bu lanetli evler insana ev esyalarindan korkmayi ogretiyor. Sirada ne var, ele gecirilmis bir tost makinesi mi?",
